fold,zones_held_out,val_rows,val_failures,AUC-ROC,PR-AUC
1,1.0,243564.0,4540.0,0.6915,0.0397
2,1.0,194502.0,2983.0,0.742,0.0418
3,13.0,176111.0,1722.0,0.8097,0.0333
4,14.0,176104.0,1227.0,0.8567,0.0324
5,14.0,176082.0,2610.0,0.7525,0.0369
mean,,,,0.7705,0.0368
sd,,,,0.0572,0.0036
