Threshold,MCC,Precision,Recall,Flagged
0.3,0.0783,0.0108,0.909,66634
0.5,0.0944,0.0172,0.7143,32898
0.7,0.0899,0.0328,0.3021,7283
0.8,0.0524,0.0494,0.0645,1032
