year,pipes,failures,AUC-ROC,PR-AUC,PR-AUC lift,Lorenz@1%,Lorenz@5%,Lorenz@10%
2019,201376,212,0.9129,0.017,16.2,15.6,54.7,76.9
2020,203294,187,0.9105,0.0195,21.2,19.3,50.3,68.4
2021,204577,149,0.9133,0.0101,13.8,16.1,46.3,71.8
2022,205585,181,0.9198,0.0185,21.0,17.1,51.4,71.8
2023,206001,178,0.9095,0.0091,10.6,17.4,50.6,71.9
2024,206615,166,0.9067,0.0125,15.6,14.5,45.8,68.1
2025,206619,149,0.8975,0.0086,11.9,14.1,47.7,63.1
