Material,Pipes,Length_share,Failures,Lorenz_1%,Lorenz_5%,Lorenz_10%
DI,2526,0.0085,7,0.1429,0.4286,0.5714
PDI,10761,0.0472,39,0.0769,0.4103,0.4359
YDI,19813,0.0938,27,0.1111,0.2593,0.4444
PVC,132436,0.6175,5,0.2,0.2,0.4
CI,15037,0.0576,119,0.042,0.1092,0.1849
