Metric,Mean,2.5%,97.5%
AUC-ROC,0.9133,0.8971,0.9292
PR-AUC,0.0195,0.0113,0.0333
P@100,0.0507,0.01,0.1052
Lorenz@5%,0.5476,0.4805,0.6149
